0,1.7816,32.55,1.5630,42.90
1,1.4171,48.35,1.3321,52.43
2,1.3700,50.15,1.2963,53.49
3,1.3387,51.46,1.2703,53.83
4,1.3423,51.53,1.3762,49.44
5,1.3582,51.43,1.2723,54.97
6,1.3381,52.35,1.3156,53.42
7,1.3492,52.20,1.3874,51.23
8,1.3627,51.86,1.3828,51.47
9,1.3749,51.75,1.3342,53.81
10,1.3879,51.56,1.3505,52.94
11,1.3857,51.47,1.3297,53.52
12,1.3852,51.23,1.3356,52.58
13,1.3700,51.47,1.2952,54.42
14,1.3647,51.47,1.2845,54.81
15,1.3476,52.47,1.2951,53.96
16,1.3393,52.26,1.2598,54.64
17,1.3301,52.63,1.2646,54.95
18,1.3218,52.83,1.2608,54.38
19,1.3140,53.15,1.2922,53.46
20,1.3090,53.46,1.2501,55.58
21,1.3030,53.62,1.2298,56.15
22,1.2985,53.82,1.2393,55.45
23,1.2939,53.90,1.2214,57.00
24,1.2906,53.97,1.2487,56.35
25,1.2857,54.18,1.2229,56.44
26,1.2810,54.51,1.2393,55.59
27,1.2802,54.49,1.2513,54.67
28,1.2731,54.72,1.2122,56.91
29,1.2703,54.82,1.2464,55.94
30,1.2710,54.78,1.2364,56.04
31,1.2652,55.00,1.2232,56.41
32,1.2630,55.06,1.2089,55.94
33,1.2593,55.26,1.2442,54.96
34,1.2603,55.16,1.2038,57.23
35,1.2551,55.38,1.1887,57.74
36,1.2514,55.59,1.1965,56.93
37,1.2516,55.55,1.2137,56.52
38,1.2464,55.64,1.1915,57.44
39,1.2524,55.48,1.2357,55.26
40,1.2410,55.85,1.1915,57.41
41,1.2356,56.06,1.1863,57.91
42,1.2357,56.01,1.2016,56.67
43,1.2357,56.16,1.2072,56.65
44,1.2321,56.45,1.1785,58.28
45,1.2316,56.40,1.1913,56.91
46,1.2319,56.26,1.1647,58.71
47,1.2286,56.18,1.1585,58.55
48,1.2253,56.44,1.1786,57.77
49,1.2243,56.53,1.1968,57.21
50,1.2207,56.58,1.2216,56.41
51,1.2174,56.72,1.2028,57.37
52,1.2116,57.02,1.1466,59.59
53,1.2079,57.00,1.1901,57.66
54,1.2109,56.84,1.1361,59.51
55,1.2054,57.01,1.1738,58.29
56,1.1995,57.57,1.1704,57.73
57,1.1992,57.44,1.1840,57.13
58,1.2024,57.32,1.1488,58.80
59,1.1930,57.53,1.1785,58.00
60,1.1975,57.31,1.1424,59.56
61,1.1879,57.64,1.1669,58.40
62,1.1919,57.69,1.1464,59.28
63,1.1902,57.78,1.1461,58.58
64,1.1858,57.88,1.1324,59.68
65,1.1819,57.98,1.1454,58.95
66,1.1842,57.82,1.1219,60.20
67,1.1796,57.99,1.1289,59.65
68,1.1767,58.13,1.1326,59.57
69,1.1727,58.49,1.1157,59.86
70,1.1725,58.73,1.1354,59.59
71,1.1696,58.51,1.1171,60.16
72,1.1678,58.47,1.1227,59.98
73,1.1658,58.70,1.1251,59.73
74,1.1614,58.72,1.1207,59.69
75,1.1585,58.98,1.1016,61.05
76,1.1562,58.98,1.1276,59.52
77,1.1539,58.87,1.1225,59.94
78,1.1483,59.26,1.1103,60.63
79,1.1524,59.09,1.1160,60.48
80,1.1482,59.39,1.1181,60.29
81,1.1466,59.45,1.0996,60.87
81,1.2530,55.40,1.1839,57.76
82,1.2584,55.17,1.2260,57.05
83,1.1782,58.04,1.1198,60.34
84,1.1924,57.67,1.1672,58.25
85,1.2177,56.96,1.1447,58.71
86,1.2278,56.30,1.1705,58.10
87,1.2498,55.26,1.2452,55.79
88,1.2480,55.65,1.2314,55.90
89,1.2458,55.54,1.1960,57.06
90,1.2558,55.53,1.1959,57.49
91,1.2456,55.72,1.1895,58.01
92,1.2485,55.38,1.2000,57.67
93,1.2484,55.60,1.1882,57.53
94,1.2525,55.58,1.2266,57.48
95,1.2470,55.61,1.1890,57.84
96,1.2457,55.73,1.2063,57.16
97,1.2394,56.08,1.1958,57.20
98,1.2399,55.99,1.2275,55.95
99,1.2456,55.82,1.1993,57.38
