0,1.9191,28.22,1.7664,33.87
1,1.7249,35.89,1.7097,37.96
2,1.6951,37.52,1.6387,39.81
3,1.6604,38.95,1.6129,39.83
4,1.6527,39.23,1.6529,40.74
5,1.6549,39.33,1.7442,36.12
6,1.6489,39.97,1.6517,40.22
7,1.6526,39.39,1.6842,38.69
8,1.6720,39.07,1.7151,37.21
9,1.6909,38.49,1.6854,38.12
10,1.6824,38.87,1.6766,38.12
11,1.6830,38.70,1.6503,40.87
12,1.6728,39.15,1.6342,41.44
13,1.6548,39.03,1.6231,40.27
14,1.6426,39.68,1.6099,41.29
15,1.6223,40.45,1.5762,42.35
16,1.6104,40.89,1.5608,42.38
17,1.5995,41.36,1.6581,39.75
18,1.5947,41.49,1.5828,41.30
19,1.5825,41.91,1.5420,43.47
20,1.5763,42.21,1.5427,43.03
21,1.5701,42.41,1.5289,43.34
22,1.5710,42.19,1.5228,43.19
23,1.5657,42.56,1.5334,44.20
24,1.5605,42.53,1.5165,43.77
25,1.5578,42.71,1.5068,44.84
26,1.5546,43.11,1.5265,43.78
27,1.5539,42.97,1.5028,45.01
28,1.5413,43.48,1.5108,44.21
29,1.5448,43.31,1.5581,42.23
30,1.5419,43.40,1.4935,45.20
31,1.5380,43.65,1.4822,45.86
32,1.5335,43.76,1.4720,46.04
33,1.5269,43.96,1.4970,45.15
34,1.5274,44.06,1.5100,45.04
35,1.5276,43.98,1.4750,45.59
36,1.5197,44.15,1.4745,46.22
37,1.5237,44.12,1.4641,46.12
38,1.5183,44.55,1.5342,44.26
39,1.5213,44.42,1.5013,44.93
40,1.5144,44.68,1.4666,46.34
41,1.5119,44.75,1.5152,44.98
42,1.5117,44.62,1.4722,46.19
43,1.5110,44.92,1.4635,46.21
44,1.5062,45.05,1.4762,45.80
45,1.5023,45.15,1.4633,46.27
46,1.5024,45.38,1.4800,46.40
47,1.5055,44.89,1.4775,45.52
48,1.5027,45.46,1.4748,46.64
49,1.4975,45.26,1.4531,46.56
50,1.4968,45.33,1.4749,46.06
51,1.4985,45.61,1.4438,47.31
52,1.4871,45.43,1.4428,47.13
53,1.4908,45.61,1.4747,45.51
54,1.4878,45.85,1.4604,46.26
55,1.4876,45.88,1.4455,46.66
56,1.4850,45.88,1.4322,47.43
57,1.4828,45.91,1.4654,46.62
58,1.4833,46.01,1.4690,46.60
59,1.4854,45.92,1.4226,47.91
60,1.4792,46.11,1.4385,47.43
61,1.4755,46.13,1.4468,46.89
62,1.4748,46.22,1.4418,47.24
63,1.4771,46.08,1.4534,46.52
64,1.4738,46.50,1.4332,47.75
65,1.4730,46.25,1.4290,47.87
66,1.4667,46.63,1.4206,47.75
67,1.4666,46.32,1.4311,47.54
68,1.4665,46.57,1.4259,47.58
69,1.4670,46.36,1.4294,47.51
70,1.4638,46.76,1.4429,47.66
71,1.4606,46.62,1.4123,48.61
72,1.4575,46.94,1.4263,47.54
72,1.4499,47.28,1.4143,48.50
73,1.4585,47.04,1.4043,49.26
74,1.4694,46.51,1.4499,47.55
75,1.4877,45.98,1.4360,47.68
76,1.4929,45.72,1.4459,46.87
77,1.5059,45.00,1.4650,46.90
78,1.5046,45.04,1.4625,46.54
79,1.5024,45.39,1.4585,47.34
80,1.5032,45.33,1.5012,45.08
81,1.5116,44.99,1.4628,46.51
82,1.5081,45.11,1.4601,46.74
83,1.5068,45.10,1.4183,47.99
84,1.5048,45.08,1.4333,47.85
85,1.5042,45.23,1.4290,48.06
86,1.5043,45.18,1.4386,47.76
87,1.5022,45.44,1.4639,46.50
88,1.5008,44.97,1.4403,47.81
88,1.5107,45.14,1.4859,46.13
89,1.4635,46.72,1.4175,47.97
90,1.4777,46.21,1.4254,48.04
91,1.4883,45.70,1.4296,47.85
92,1.4920,45.51,1.4518,46.87
93,1.5050,45.24,1.4590,47.01
94,1.4986,45.24,1.4481,47.08
95,1.5024,45.53,1.4495,47.37
96,1.5007,45.24,1.4884,46.34
97,1.4985,45.54,1.4865,45.19
98,1.4961,45.50,1.4713,45.97
99,1.5007,45.31,1.4565,46.68
