0,0.5440,81.48,0.1258,96.29
1,0.1325,95.86,0.0789,97.55
2,0.0929,97.14,0.0647,98.19
3,0.0733,97.74,0.0838,97.38
4,0.0641,98.03,0.0565,98.12
5,0.0544,98.27,0.0613,97.92
6,0.0473,98.53,0.0481,98.42
7,0.0464,98.54,0.0592,98.17
8,0.0424,98.62,0.0528,98.29
9,0.0372,98.82,0.0862,97.28
10,0.0391,98.75,0.0505,98.45
11,0.0322,98.95,0.0411,98.78
12,0.0317,98.96,0.0426,98.65
13,0.0310,99.01,0.0487,98.46
14,0.0279,99.09,0.0476,98.55
15,0.0313,99.00,0.0443,98.61
16,0.0244,99.18,0.0573,98.17
17,0.0263,99.14,0.0453,98.65
18,0.0252,99.18,0.0365,98.84
19,0.0203,99.28,0.0498,98.48
